timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size
1772045049.2278678,none,/big.txt,1007616,8192,sequential,1.0000,0,,
1772045049.22796,none,/big.txt,1015808,8192,sequential,1.0000,0,,
1772045049.228058,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045136.069684,none,/big.txt,0,65536,unknown,0.0000,0,,
1772045136.070155,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772045136.0704021,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772045136.070726,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772045136.07087,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045136.071197,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045136.071372,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045136.0715158,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045136.07164,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045136.071847,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045136.0719612,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045136.0720692,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045136.072171,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045136.072267,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045136.072356,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045136.072451,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045136.0725372,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045139.10395,none,/big.txt,0,65536,unknown,0.0000,0,,
1772045139.104406,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772045139.1046898,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772045139.104919,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772045139.1051571,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045139.105377,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045139.105567,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045139.1057549,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045139.105933,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045139.106098,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045139.10626,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045139.1064472,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045139.106623,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045139.106786,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045139.1069582,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045139.107142,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045139.1073039,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045142.1423008,none,/big.txt,0,65536,unknown,0.0000,0,,
1772045142.142634,none,/big.txt,65536,65536,sequential,1.0000,0,,
1772045142.142847,none,/big.txt,131072,65536,sequential,1.0000,0,,
1772045142.143054,none,/big.txt,196608,65536,sequential,1.0000,0,,
1772045142.14331,none,/big.txt,262144,65536,sequential,1.0000,0,,
1772045142.143527,none,/big.txt,327680,65536,sequential,1.0000,0,,
1772045142.143713,none,/big.txt,393216,65536,sequential,1.0000,0,,
1772045142.1439009,none,/big.txt,458752,65536,sequential,1.0000,0,,
1772045142.1441011,none,/big.txt,524288,65536,sequential,1.0000,0,,
1772045142.1442828,none,/big.txt,589824,65536,sequential,1.0000,0,,
1772045142.144473,none,/big.txt,655360,65536,sequential,1.0000,0,,
1772045142.1446369,none,/big.txt,720896,65536,sequential,1.0000,0,,
1772045142.1448178,none,/big.txt,786432,65536,sequential,1.0000,0,,
1772045142.1449971,none,/big.txt,851968,65536,sequential,1.0000,0,,
1772045142.145164,none,/big.txt,917504,65536,sequential,1.0000,0,,
1772045142.145325,none,/big.txt,983040,40960,sequential,1.0000,0,,
1772045142.145549,none,/big.txt,1024000,0,sequential,1.0000,0,,
1772045145.18463,none,/big.txt,20480,4096,unknown,0.0000,0,,
1772045145.190552,none,/big.txt,491520,4096,irregular,0.0000,0,,
1772045145.194064,none,/big.txt,172032,4096,irregular,0.0000,0,,
1772045145.1969862,none,/big.txt,1228800,0,irregular,0.0000,0,,
1772045145.199543,none,/big.txt,69632,4096,irregular,0.0000,0,,
1772045145.202225,none,/big.txt,1024000,0,irregular,0.0000,0,,
1772045145.205012,none,/big.txt,360448,4096,irregular,0.0000,0,,
1772045145.207474,none,/big.txt,778240,4096,irregular,0.0000,0,,
1772045145.209738,none,/big.txt,245760,4096,irregular,0.0000,0,,
1772045145.2120142,none,/big.txt,40960,4096,irregular,0.0000,0,,
