workload,run,mode,real_sec,user_sec,sys_sec
phase_change,19,none,2.1300,0.0160,0.0250
phase_change,19,baseline,2.2040,0.0310,0.0100
phase_change,19,adaptive,2.1810,0.0270,0.0130
phase_change,20,native,0.2100,0.0140,0.0530
phase_change,20,none,2.1420,0.0210,0.0180
phase_change,20,baseline,2.2540,0.0290,0.0130
phase_change,20,adaptive,2.1340,0.0190,0.0200
gradual_drift,1,native,0.0520,0.0130,0.0070
gradual_drift,1,none,0.2230,0.0150,0.0040
gradual_drift,1,baseline,0.2250,0.0120,0.0080
gradual_drift,1,adaptive,0.2240,0.0150,0.0050
gradual_drift,2,native,0.0490,0.0150,0.0040
gradual_drift,2,none,0.2230,0.0140,0.0060
gradual_drift,2,baseline,0.2240,0.0140,0.0050
gradual_drift,2,adaptive,0.2240,0.0200,0.0000
gradual_drift,3,native,0.0490,0.0190,0.0000
gradual_drift,3,none,0.2140,0.0180,0.0010
gradual_drift,3,baseline,0.2250,0.0130,0.0080
gradual_drift,3,adaptive,0.2150,0.0120,0.0060
gradual_drift,4,native,0.0520,0.0120,0.0070
gradual_drift,4,none,0.2170,0.0140,0.0050
gradual_drift,4,baseline,0.2250,0.0100,0.0110
gradual_drift,4,adaptive,0.2180,0.0190,0.0000
gradual_drift,5,native,0.0500,0.0120,0.0070
gradual_drift,5,none,0.2250,0.0090,0.0120
gradual_drift,5,baseline,0.2880,0.0130,0.0080
gradual_drift,5,adaptive,0.2300,0.0140,0.0050
gradual_drift,6,native,0.0510,0.0050,0.0140
gradual_drift,6,none,0.2150,0.0160,0.0030
gradual_drift,6,baseline,0.2250,0.0140,0.0050
gradual_drift,6,adaptive,0.2170,0.0150,0.0040
gradual_drift,7,native,0.0490,0.0120,0.0070
gradual_drift,7,none,0.2140,0.0120,0.0070
gradual_drift,7,baseline,0.2280,0.0050,0.0150
gradual_drift,7,adaptive,0.2690,0.0110,0.0090
gradual_drift,8,native,0.0510,0.0130,0.0060
gradual_drift,8,none,0.2150,0.0150,0.0040
gradual_drift,8,baseline,0.2300,0.0160,0.0030
gradual_drift,8,adaptive,0.2280,0.0100,0.0090
gradual_drift,9,native,0.0500,0.0140,0.0060
gradual_drift,9,none,0.2180,0.0180,0.0010
gradual_drift,9,baseline,0.2240,0.0140,0.0050
gradual_drift,9,adaptive,0.2190,0.0160,0.0040
gradual_drift,10,native,0.0520,0.0200,0.0000
gradual_drift,10,none,0.2220,0.0140,0.0070
gradual_drift,10,baseline,0.2170,0.0100,0.0090
gradual_drift,10,adaptive,0.2230,0.0140,0.0050
gradual_drift,11,native,0.0520,0.0090,0.0100
gradual_drift,11,none,0.2170,0.0210,0.0010
gradual_drift,11,baseline,0.2240,0.0120,0.0070
gradual_drift,11,adaptive,0.2300,0.0180,0.0010
gradual_drift,12,native,0.0510,0.0060,0.0130
gradual_drift,12,none,0.2220,0.0150,0.0070
gradual_drift,12,baseline,0.2240,0.0190,0.0000
gradual_drift,12,adaptive,0.2260,0.0190,0.0000
gradual_drift,13,native,0.0510,0.0190,0.0000
gradual_drift,13,none,0.2220,0.0030,0.0160
gradual_drift,13,baseline,0.2300,0.0190,0.0000
gradual_drift,13,adaptive,0.2250,0.0170,0.0040
gradual_drift,14,native,0.0510,0.0020,0.0170
gradual_drift,14,none,0.2200,0.0050,0.0140
gradual_drift,14,baseline,0.2240,0.0140,0.0050
gradual_drift,14,adaptive,0.2220,0.0090,0.0100
gradual_drift,15,native,0.0520,0.0080,0.0120
gradual_drift,15,none,0.2210,0.0120,0.0080
gradual_drift,15,baseline,0.2240,0.0190,0.0000
gradual_drift,15,adaptive,0.2310,0.0130,0.0070
gradual_drift,16,native,0.0500,0.0150,0.0040
gradual_drift,16,none,0.2130,0.0120,0.0080
gradual_drift,16,baseline,0.2300,0.0100,0.0090
gradual_drift,16,adaptive,0.2230,0.0190,0.0000
gradual_drift,17,native,0.0480,0.0150,0.0040
gradual_drift,17,none,0.2140,0.0190,0.0000
gradual_drift,17,baseline,0.2220,0.0110,0.0080
gradual_drift,17,adaptive,0.2220,0.0080,0.0110
gradual_drift,18,native,0.0510,0.0110,0.0090
gradual_drift,18,none,0.2140,0.0170,0.0010
gradual_drift,18,baseline,0.2260,0.0150,0.0040
gradual_drift,18,adaptive,0.2870,0.0170,0.0040
gradual_drift,19,native,0.0490,0.0100,0.0090
gradual_drift,19,none,0.2270,0.0150,0.0040
gradual_drift,19,baseline,0.2230,0.0190,0.0000
gradual_drift,19,adaptive,0.2250,0.0140,0.0050
gradual_drift,20,native,0.0510,0.0180,0.0010
gradual_drift,20,none,0.2270,0.0190,0.0000
gradual_drift,20,baseline,0.2260,0.0140,0.0050
gradual_drift,20,adaptive,0.2250,0.0130,0.0080
